ファイル名,ユーズID,ルール種別,ルールID,条件SEQ,列番号,演算子,比較値,論理,出力タイプ,結果値,保存対象テーブル,保存対象カラム,項目ID,メモ
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_01,1,1,,,,そのまま登録,1,PRODUCT_MST,PRODUCT_CODE,ProductCode,商品コード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_02,1,2,,,,そのまま登録,2,PRODUCT_MST,PRODUCT_NAME,ProductName,商品名
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_03,1,3,,,,そのまま登録,3,PRODUCT_MST,BRAND_ID,BrandId,ブランドコード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_04,1,4,,,,そのまま登録,4,PRODUCT_MST,BRAND_NAME,BrandName,ブランド名
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_05,1,5,,,,そのまま登録,5,PRODUCT_MST,CATEGORY_ID,CategoryId,カテゴリコード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_06,1,6,,,,そのまま登録,6,PRODUCT_MST,CATEGORY_NAME,CategoryName,カテゴリ名
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_07,1,7,,,,そのまま登録,7,PRODUCT_MST,PRODUCT_STATUS_CODE,ProductStatusCode,商品状態コード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_08,1,8,,,,そのまま登録,8,PRODUCT_MST,STOCK_AVAILABILITY,StockAvailability,在庫有無
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_09,1,9,,,,そのまま登録,9,PRODUCT_MST,SALE_AVAILABILITY,SaleAvailability,販売可否
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_10,1,10,,,,そのまま登録,10,PRODUCT_MST,STORE_ID,StoreId,店舗コード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_11,1,11,,,,そのまま登録,11,PRODUCT_MST,STORE_NAME,StoreName,店舗名
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_12,1,12,,,,そのまま登録,12,PRODUCT_MST,NEW_ITEM_TYPE,NewItemType,新品区分
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_13,1,13,,,,そのまま登録,13,PRODUCT_MST,QUANTITY,Quantity,数量
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_14,1,14,,,,そのまま登録,14,PRODUCT_MST,SUPPLIER_TYPE,SupplierType,仕入先区分
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_15,1,15,,,,そのまま登録,15,PRODUCT_MST,SALES_DESTINATION_TYPE,SalesDestinationType,販売先区分
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_16,1,16,,,,そのまま登録,16,PRODUCT_MST,SALES_DESTINATION_NAME,SalesDestinationName,販売先名
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_17,1,17,,,,そのまま登録,17,PRODUCT_MST,ASSESSMENT_PRICE,AssessmentPrice,査定価格
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_18,1,18,,,,そのまま登録,18,PRODUCT_MST,PURCHASE_PRICE,PurchasePrice,買取価格
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_19,1,19,,,,そのまま登録,19,PRODUCT_MST,DISPLAY_PRICE,DisplayPrice,表示価格
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_20,1,20,,,,そのまま登録,20,PRODUCT_MST,SALE_PRICE,SalesPrice,売上価格
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_21,1,21,,,,そのまま登録,21,PRODUCT_MST,CONSIGNMENT_GPCOMPANY_ID,ConsignmentGpCompanyId,委託元GP会社コード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_22,1,22,,,,そのまま登録,22,PRODUCT_MST,CONSIGNED_PRODUCT_CODE,ConsignedProductCode,委託元商品コード
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_23,1,23,,,,そのまま登録,23,PRODUCT_MST,STAFF_NAME,StaffName,担当者名
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_24,1,24,,,,そのまま登録,24,PRODUCT_MST,UPDATE_TYPE,UpdateType,更新種別
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_25,1,25,,,,そのまま登録,25,PRODUCT_MST,UPDATE_DATE,UpdateDate,更新日
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_26,1,26,,,,そのまま登録,26,PRODUCT_MST,UPDATE_TIME,UpdateTime,更新時
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_27,1,27,,,,そのまま登録,27,PRODUCT_EAV,VALUE,Material1,素材1
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_28,1,28,,,,そのまま登録,28,PRODUCT_EAV,VALUE,Material2,素材2
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_29,1,6,=,バッグ,-,そのまま登録,31,PRODUCT_EAV,VALUE,BagHeight,バッグ高さ
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_30,1,6,=,バッグ,-,そのまま登録,32,PRODUCT_EAV,VALUE,BagWidth,バッグ横幅
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_31,1,6,=,宝石,-,そのまま登録,31,PRODUCT_EAV,VALUE,RingSize,リングサイズ
KM_商品.csv,KM_PRODCT,商品データ取り込み,RULE_KM_32,1,6,=,宝石,-,そのまま登録,32,PRODUCT_EAV,VALUE,RingWidth,リング幅
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_01,1,1,,,,そのまま登録,1,PRODUCT_MST,PRODUCT_CODE,ProductCode,商品コード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_02,1,2,,,,そのまま登録,2,PRODUCT_MST,PRODUCT_NAME,ProductName,商品名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_03,1,3,,,,そのまま登録,3,PRODUCT_MST,BRAND_ID,BrandId,ブランドコード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_04,1,4,,,,そのまま登録,4,PRODUCT_MST,BRAND_NAME,BrandName,ブランド名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_05,1,4,,,,そのまま登録,5,PRODUCT_MST,CATEGORY_ID,CategoryId,カテゴリコード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_06,1,6,,,,そのまま登録,6,PRODUCT_MST,CATEGORY_NAME,CategoryName,カテゴリ名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_07,1,7,,,,そのまま登録,7,PRODUCT_MST,PRODUCT_STATUS_CODE,ProductStatusCode,商品状態コード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_08,1,8,,,,そのまま登録,8,PRODUCT_MST,STOCK_AVAILABILITY,StockAvailability,在庫有無
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_09,1,9,,,,そのまま登録,9,PRODUCT_MST,SALE_AVAILABILITY,SaleAvailability,販売可否
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_10,1,10,,,,そのまま登録,10,PRODUCT_MST,STORE_ID,StoreId,店舗コード
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_11,1,11,,,,そのまま登録,11,PRODUCT_MST,STORE_NAME,StoreName,店舗名
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_12,1,12,,,,そのまま登録,12,PRODUCT_MST,NEW_ITEM_TYPE,NewItemType,新品区分
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_13,1,13,,,,そのまま登録,13,PRODUCT_MST,QUANTITY,Quantity,数量
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_14,1,14,,,,そのまま登録,14,PRODUCT_MST,SUPPLIER_TYPE,SupplierType,仕入先区分
RKE_伝票.csv,RKE_PRODCT,商品データ取り込み,RULE_RKE_15,1,15,,,,そのまま登録,15,PRODUCT_MST,SALES_DESTINATION_TYPE,SalesDestinationType,販売先区分
