ファイル名,ユーズID,ルール種別,ルールID,条件SEQ,列番号,演算子,比較値,論理,出力タイプ,結果値,保存対象テーブル,保存対象カラム,項目ID,メモ
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_00,1,1,,,,そのまま登録,1,PRODUCT_MST,PRODUCT_CODE,PRODUCT_CODE,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_01,1,4,=,入出庫,AND,変換して登録,06（販売中）,PRODUCT_MST,STATUS,STATUS,伝票区分が入出庫
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_01,2,13,LIKE,4%,-,変換して登録,06（販売中）,PRODUCT_MST,STATUS,STATUS,伝票区分が入出庫
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_02,1,4,=,売上,-,変換して登録,11（出荷済）,PRODUCT_MST,STATUS,STATUS,売上伝票
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_03,1,4,=,入出庫,AND,変換して登録,01（販売可）,PRODUCT_MST,ZAIKOUMU,ZAIKOUMU,伝票区分が入出庫
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_03,2,13,LIKE,2%,-,変換して登録,01（販売可）,PRODUCT_MST,ZAIKOUMU,ZAIKOUMU,伝票区分が入出庫
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_04,1,12,,,,そのまま登録,12,PRODUCT_MST,BRAND_ID,BRAND_ID,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_05,1,14,,,,そのまま登録,14,PRODUCT_MST,PRODUCT_NAME,PRODUCT_NAME,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_06,1,3,,,,そのまま登録,3,PRODUCT_MST,CATEGORY,CATEGORY,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_07,1,10,,,,そのまま登録,10,PRODUCT_MST,STATUS,STATUS,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_11,1,3,=,バッグ,-,そのまま登録,8,PRODUCT_EAV,VALUE,WEIGHT,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_12,1,3,=,バッグ,-,そのまま登録,5,PRODUCT_EAV,VALUE,BAG_HEIGHT,バッグ高さ=SIZE_1
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_13,1,3,=,バッグ,-,そのまま登録,6,PRODUCT_EAV,VALUE,BAG_WIDTH,バッグ横幅=SIZE_2
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_14,1,3,=,宝石,-,そのまま登録,7,PRODUCT_EAV,VALUE,RING_SIZE,リングサイズ=SIZE_1
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_15,1,3,=,宝石,-,そのまま登録,8,PRODUCT_EAV,VALUE,RING_WIDTH,リング幅=SIZE_3
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_20,1,3,=,時計,-,そのまま登録,5,PRODUCT_EAV,VALUE,SIZE_1,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_21,1,3,=,時計,-,そのまま登録,6,PRODUCT_EAV,VALUE,SIZE_2,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_22,1,3,=,時計,-,そのまま登録,7,PRODUCT_EAV,VALUE,SIZE_3,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_23,1,3,=,宝石,-,そのまま登録,7,PRODUCT_EAV,VALUE,SIZE_3,
RKE伝票.CSV,RKE_PRODCT,商品データ取り込み,RULE_RKE_24,1,3,=,バッグ,-,そのまま登録,8,PRODUCT_EAV,VALUE,WEIGHT,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_01,1,13,LIKE,2%,-,変換して登録,03（仕入登録済）,PRODUCT_MST,STATUS,STATUS,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_02,1,2,=,仕入登録済,-,変換して登録,03（仕入登録済）,PRODUCT_MST,STATUS,STATUS,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_03,1,3,=,バッグ,-,そのまま登録,5,PRODUCT_EAV,VALUE,BAG_HEIGHT,バッグ高さ
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_04,1,3,=,バッグ,-,そのまま登録,5,PRODUCT_EAV,VALUE,BAG_WIDTH,バッグ横幅
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_05,1,3,=,宝石,-,そのまま登録,5,PRODUCT_EAV,VALUE,RING_SIZE,リングサイズ
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_06,1,3,=,宝石,-,そのまま登録,5,PRODUCT_EAV,VALUE,RING_WIDTH,リング幅
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_07,1,10,=,TRUE,AND,新商品登録ロジック,,,,,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_08,1,3,,,,そのまま登録,3,PRODUCT_MST,CATEGORY,CATEGORY,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_10,1,1,,,,そのまま登録,1,PRODUCT_MST,PRODUCT_CODE,PRODUCT_CODE,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_11,1,2,,,,そのまま登録,12,PRODUCT_MST,BRAND_ID,BRAND_ID,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_12,1,3,,,,そのまま登録,14,PRODUCT_MST,PRODUCT_NAME,PRODUCT_NAME,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_20,1,4,,,,そのまま登録,5,PRODUCT_EAV,VALUE,SIZE_1,
KM商品.CSV,KM_PRODCT,商品データ取り込み,RULE_KM_21,1,5,,,,そのまま登録,6,PRODUCT_EAV,VALUE,SIZE_2,
